id,tournamentid,countryid,name,isactive
7208,56,12,2016/2017,0
7209,56,12,2017/2018,0
7210,56,12,2018/2019,0
7211,56,12,2019/2020,1
7212,57,24,2012/2013,0
7213,57,24,2013/2014,0
7214,57,24,2014/2015,0
7215,57,24,2015/2016,0
7216,57,24,2016/2017,0
7217,57,24,2017/2018,0
7218,57,24,2018/2019,0
7219,57,24,2019/2020,1
7220,58,43,2012/2013,0
7221,58,43,2013/2014,0
7222,58,43,2014/2015,0
7223,58,43,2015/2016,0
7224,58,43,2016/2017,0
7225,58,43,2017/2018,0
7226,58,43,2018/2019,0
7227,58,43,2019/2020,1
7228,59,35,2013,0
7229,59,35,2014,0
7230,59,35,2015,0
7231,59,35,2016,0
7232,59,35,2017,0
7233,59,35,2018,0
7234,59,35,2019,1
7235,60,2,2014,0
7236,60,2,2015,0
7237,60,2,2016,0
7238,60,2,2017,0
7239,60,2,2018,0
7240,60,2,2019,1
7241,61,46,2013/2014,0
7242,61,46,2014/2015,0
7243,61,46,2015/2016,0
7244,61,46,2016/2017,0
7245,61,46,2017/2018,0
7246,61,46,2018/2019,0
7247,61,46,2019/2020,1
7248,62,18,2012/2013,0
7249,62,18,2013/2014,0
7250,62,18,2014/2015,0
7251,62,18,2015/2016,0
7252,62,18,2016/2017,0
7253,62,18,2017/2018,0
7254,62,18,2018/2019,0
7255,62,18,2019/2020,1
7256,63,9,2013/2014,0
7257,63,9,2014/2015,0
7258,63,9,2015/2016,0
7259,63,9,2016/2017,0
7260,63,9,2017/2018,0
7261,63,9,2018/2019,0
7262,63,9,2019/2020,1
7263,64,46,2013/2014,0
7264,64,46,2014/2015,0
7265,64,46,2015/2016,0
7266,64,46,2016/2017,0
7267,64,46,2017/2018,0
7268,64,46,2018/2019,0
7269,64,46,2019/2020,1
7270,65,33,2015/2016,0
7271,65,33,2016/2017,0
7272,65,33,2017/2018,0
7273,65,33,2018/2019,0
7274,65,33,2019/2020,1
7275,66,65,2012/2013,0
7276,66,65,2013/2014,0
7277,66,65,2014/2015,0
7278,66,65,2015/2016,0
7279,66,65,2016/2017,0
7280,66,65,2017/2018,0
7281,66,65,2018/2019,0
7282,66,65,2019/2020,1
7283,67,21,2014/2015,0
7284,67,21,2015/2016,0
7285,67,21,2016/2017,0
7286,67,21,2017/2018,0
7287,67,21,2018/2019,1
7288,68,20,2012/2013,0
7289,68,20,2013/2014,0
7290,68,20,2014/2015,0
7291,68,20,2015/2016,0
7292,68,20,2016/2017,0
7293,68,20,2017/2018,0
7294,68,20,2018/2019,0
7295,68,20,2019/2020,1
7296,69,20,2012/2013,0
7297,69,20,2013/2014,0
7298,69,20,2014/2015,0
7299,69,20,2015/2016,0
7300,69,20,2016/2017,0
7301,69,20,2017/2018,0
7302,69,20,2018/2019,0
7303,69,20,2019/2020,1
7304,70,66,2012,0
7305,70,66,2013,0
7306,70,66,2014,0
7307,70,66,2015,0
7308,70,66,2016,0
7309,70,66,2017,0
7310,70,66,2018,0
7311,70,66,2019,1
7312,71,50,2012/2013,0
7313,71,50,2013/2014,0
7314,71,50,2014/2015,0
7315,71,50,2015/2016,0
7316,71,50,2016/2017,0
7317,71,50,2017/2018,0
7318,71,50,2018/2019,0
7319,71,50,2019/2020,1
7320,72,18,2012/2013,0
7321,72,18,2013/2014,0
7322,72,18,2014/2015,0
7323,72,18,2015/2016,0
7324,72,18,2016/2017,0
7325,72,18,2017/2018,0
7326,72,18,2018/2019,0
7327,72,18,2019/2020,1
7328,73,16,2012,0
7329,73,16,2013,0
7330,73,16,2014,0
7331,73,16,2015,0
7332,73,16,2016,0
7333,73,16,2017,0
7334,73,16,2018,0
7335,73,16,2019,1
7336,74,13,2013/2014,0
7337,74,13,2014/2015,0
7338,74,13,2015/2016,0
7339,74,13,2016/2017,0
7340,74,13,2017/2018,0
7341,74,13,2018/2019,0
7342,75,2,2012,0
7343,75,2,2013,0
7344,75,2,2014,0
7345,75,2,2015,0
7346,75,2,2016,0
7347,75,2,2017,0
7348,75,2,2018,0
7349,75,2,2019,1
7350,76,32,2012/2013,0
7351,76,32,2013/2014,0
7352,76,32,2014/2015,0
7353,76,32,2015/2016,0
7354,76,32,2016/2017,0
7355,76,32,2017/2018,0
7356,76,32,2018/2019,0
7357,76,32,2019/2020,1
7358,77,18,2013/2014,0
7359,77,18,2014/2015,0
7360,77,18,2015/2016,0
7361,77,18,2016/2017,0
7362,77,18,2017/2018,0
7363,77,18,2018/2019,0
7364,77,18,2019/2020,1
7365,78,44,2013/2014,0
7366,78,44,2014/2015,0
7367,78,44,2015/2016,0
7368,78,44,2016/2017,0
7369,78,44,2017/2018,0
7370,78,44,2018/2019,0
7371,78,44,2019/2020,1
7372,79,49,2012,0
7373,79,49,2013,0
7374,79,49,2014,0
7375,79,49,2015,0
7376,79,49,2016,0
7377,79,49,2017,0
7378,79,49,2018,0
7379,79,49,2019,1
7380,80,73,2012/2013,0
7381,80,73,2013/2014,0
7382,80,73,2014/2015,0
7383,80,73,2015/2016,0
7384,80,73,2016/2017,0
7385,80,73,2017/2018,0
7386,80,73,2018/2019,0
7387,80,73,2019/2020,1
7388,81,51,2012/2013,0
7389,81,51,2013/2014,0
7390,81,51,2014/2015,0
7391,81,51,2015/2016,0
7392,81,51,2016/2017,0
7393,81,51,2017/2018,0
7394,81,51,2018/2019,0
7395,81,51,2019/2020,1
7396,82,53,2013/2014,0
7397,82,53,2014/2015,0
7398,82,53,2015/2016,0
7399,82,53,2016/2017,0
7400,82,53,2017/2018,0
7401,82,53,2018/2019,0
7402,82,53,2019/2020,1
7403,83,44,2013/2014,0
7404,83,44,2014/2015,0
7405,83,44,2015/2016,0
7406,83,44,2016/2017,0
7407,83,44,2017/2018,0
7408,83,44,2018/2019,0
7409,83,44,2019/2020,1
7410,84,1,2012,0
7411,84,1,2013,0
7412,84,1,2014,0
7413,84,1,2015,0
7414,84,1,2016,0
7415,84,1,2017,0
7416,84,1,2018,0
7417,84,1,2019,0
7418,84,1,2020,1
7419,85,18,2013/2014,0
7420,85,18,2014/2015,0
7421,85,18,2015/2016,0
7422,85,18,2016/2017,0
7423,85,18,2017/2018,0
7424,85,18,2018/2019,0
7425,85,18,2019/2020,1
7426,86,38,2012/2013,0
7427,86,38,2013/2014,0
7428,86,38,2014/2015,0
7429,86,38,2015/2016,0
7430,86,38,2016/2017,0
7431,86,38,2017/2018,0
7432,86,38,2018/2019,0
7433,87,63,2014/2015,0
7434,87,63,2015/2016,0
7435,87,63,2016/2017,0
7436,87,63,2017/2018,0
7437,87,63,2018/2019,1
7438,88,54,2012,0
7439,88,54,2013,0
7440,88,54,2014,0
7441,88,54,2015,0
7442,88,54,2016,0
7443,88,54,2017,0
7444,88,54,2018,0
7445,88,54,2019,1
7446,89,20,2013/2014,0
7447,89,20,2014/2015,0
7448,89,20,2015/2016,0
7449,89,20,2016/2017,0
7450,89,20,2017/2018,0
7451,89,20,2018/2019,0
7452,89,20,2019/2020,1
7453,90,20,2013/2014,0
7454,90,20,2014/2015,0
7455,90,20,2015/2016,0
7456,90,20,2016/2017,0
7457,90,20,2017/2018,0
7458,90,20,2018/2019,0
7459,90,20,2019/2020,1
7460,91,31,2014/2015,0
7461,91,31,2015/2016,0
7462,91,31,2016/2017,0
7463,91,31,2017/2018,0
7464,91,31,2018/2019,0
7465,91,31,2019/2020,1
7466,92,35,2014,0
7467,92,35,2015,0
7468,92,35,2016,0
7469,92,35,2017,0
7470,92,35,2018,0
7471,92,35,2019,1
7472,93,45,2013/2014,0
7473,93,45,2014/2015,0
7474,93,45,2015/2016,0
7475,93,45,2016/2017,0
7476,93,45,2017/2018,0
7477,93,45,2018/2019,0
7478,93,45,2019/2020,1
7479,94,28,2013/2014,0
7480,94,28,2014/2015,0
7481,94,28,2015/2016,0
7482,94,28,2016/2017,0
7483,94,28,2017/2018,0
7484,94,28,2018/2019,0
7485,94,28,2019/2020,1
7486,95,6,2012,0
7487,95,6,2013,0
7488,95,6,2014,0
7489,95,6,2015,0
7490,95,6,2016,0
7491,95,6,2017,0
7492,95,6,2018,0
7493,95,6,2019,1
7494,96,65,2013/2014,0
7495,96,65,2014/2015,0
7496,96,65,2015/2016,0
7497,96,65,2016/2017,0
7498,96,65,2017/2018,0
7499,96,65,2018/2019,0
7500,96,65,2019/2020,1
7501,97,3,2013/2014,0
7502,97,3,2014/2015,0
7503,97,3,2016/2017,0
7504,97,3,2017/2018,0
7505,97,3,2018/2019,0
7506,98,68,2013/2014,0
7507,98,68,2014/2015,0
7508,98,68,2015/2016,0
7509,98,68,2016/2017,0
7510,98,68,2017/2018,0
7511,98,68,2018/2019,0
7512,98,68,2019/2020,1
7513,99,64,2013/2014,0
7514,99,64,2014/2015,0
7515,99,64,2015/2016,0
7516,99,64,2016/2017,0
7517,99,64,2017/2018,0
7518,99,64,2018/2019,0
7519,99,64,2019/2020,1
7520,100,40,2013/2014,0
7521,100,40,2014/2015,0
7522,100,40,2015/2016,0
7523,100,40,2016/2017,0
7524,100,40,2017/2018,0
7525,100,40,2018/2019,0
7526,100,40,2019/2020,1
7527,101,8,2013/2014,0
7528,101,8,2014/2015,0
7529,101,8,2015/2016,0
7530,101,8,2016/2017,0
7531,101,8,2017/2018,0
7532,101,8,2018/2019,0
7533,101,8,2019/2020,1
7534,102,73,2013/2014,0
7535,102,73,2014/2015,0
7536,102,73,2015/2016,0
7537,102,73,2016/2017,0
7538,102,73,2017/2018,0
7539,102,73,2018/2019,0
7540,102,73,2019/2020,1
7541,103,48,2012/2013,0
7542,103,48,2013/2014,0
7543,103,48,2014/2015,0
7544,103,48,2015/2016,0
7545,103,48,2016/2017,0
7546,103,48,2017/2018,0
7547,103,48,2018/2019,0
7548,103,48,2019/2020,1
7549,104,52,2012/2013,0
7550,104,52,2013/2014,0
7551,104,52,2014/2015,0
7552,104,52,2015/2016,0
7553,104,52,2016/2017,0
7554,104,52,2017/2018,0
7555,104,52,2018/2019,0
7556,104,52,2019/2020,1
7557,105,11,2012,0
7558,105,11,2013,0
7559,105,11,2014,0
7560,105,11,2015,0
7561,105,11,2016,0
7562,105,11,2017,0
7563,105,11,2018,0
7564,105,11,2019,1
7565,106,64,2013/2014,0
7566,106,64,2014/2015,0
7567,106,64,2015/2016,0
7568,106,64,2016/2017,0
7569,106,64,2017/2018,0
7570,106,64,2018/2019,0
7571,106,64,2019/2020,1
7572,107,70,2013/2014,0
7573,107,70,2014/2015,0
7574,107,70,2015/2016,0
7575,107,70,2016/2017,0
7576,107,70,2017/2018,0
7577,107,70,2018/2019,0
7578,108,17,2014/2015,0
7579,108,17,2015/2016,0
7580,108,17,2016/2017,0
7581,108,17,2017/2018,0
7582,108,17,2018/2019,1
7583,109,26,2012/2013,0
7584,109,26,2013/2014,0
7585,109,26,2014/2015,0
7586,109,26,2015/2016,0
7587,109,26,2016/2017,0
7588,109,26,2017/2018,0
7589,109,26,2018/2019,0
7590,109,26,2019/2020,1
7591,110,8,2013/2014,0
7592,110,8,2014/2015,0
7593,110,8,2015/2016,0
7594,110,8,2016/2017,0
7595,110,8,2017/2018,0
7596,110,8,2018/2019,0
7597,110,8,2019/2020,1
7598,111,57,2013/2014,0
7599,111,57,2014/2015,0
7600,111,57,2015/2016,0
7601,111,57,2016/2017,0
7602,111,57,2017/2018,0
7603,111,57,2018/2019,1
7604,112,77,2012,0
7605,112,77,2013,0
7606,112,77,2014,0
7607,112,77,2015,0
7608,112,77,2016,0
7609,112,77,2017,0
7610,112,77,2018,0
7611,112,77,2019,1
7612,113,4,2014/2015,0
7613,113,4,2015/2016,0
7614,113,4,2016/2017,0
